450,25,135,153,dart0.jpg,640,426
207,141,171,168,dart1.jpg,550,421
108,104,78,75,dart2.jpg,640,360
327,152,60,61,dart3.jpg,500,375
196,108,158,169,dart4.jpg,700,700
440,147,92,95,dart5.jpg,800,677
215,120,54,56,dart6.jpg,500,393
261,177,99,129,dart7.jpg,700,644
849,226,104,105,dart8.jpg,1000,779
70,256,52,78,dart8.jpg,1000,779
222,67,196,196,dart9.jpg,468,590
99,112,82,91,dart10.jpg,1000,725
589,134,46,72,dart10.jpg,1000,725
917,154,33,55,dart10.jpg,1000,725
179,108,52,47,dart11.jpg,512,288
444,126,19,47,dart11.jpg,512,288
160,84,53,123,dart12.jpg,454,303
280,128,116,117,dart13.jpg,615,409
130,110,108,107,dart14.jpg,1224,660
995,104,107,108,dart14.jpg,1224,660
164,64,113,120,dart15.jpg,700,501
